compound_id,Name,alias,IUPAC_name,Novelty,component_type,source_type,source_path,Item_ID,evidence_text,manual_required,reason
C000011,"1,2-distearoyl-sn-glycero-3-phosphocholine",DSPC,,known,helper_lipid,markdown,,,,true,Candidate retained from QS_2026 text-prep candidate list; source sentence was not re-located automatically in the sandbox fallback.
C000012,IL-12 mRNA,interleukin-12 mRNA,,known,cargo,markdown,QS_2026/QS_2026.md,,"intratumoural injection of pLNPs, which are composed of plLs, phospholipid, DMG-PEG, cholesterol and IL-12 mRNA. pLNPs induce T cell activation and suppress T cell exhaustion through IL-12 expression and IDO pathway inhibitor release, respectively, thereby eliminating tumours through synergistic methods. Panel $\bf b$ created in BioRender; Hamilton, A. https://biorender.com/bv1w20v (2025).",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000013,FLuc mRNA,firefly luciferase mRNA,,known,cargo,markdown,QS_2026/QS_2026.md,Fig. 2,"<span id=""page-2-0""></span>**Fig. 2**| **In vitro and in vivo screening of pIL library and lead pLNPs for mRNA delivery. a**, Schematic showing screening method for pILs. pLNPs were formulated with a pIL, cholesterol, DOPE and DMG-PEG at a molar ratio of 50:38.5:10:1.5. MC38 cells were used for in vitro screening of pLNPs encapsulating FLuc mRNA. Lead pLNPs were selected for in vivo evaluation via MC38 intratumoural administration. b, Heat map showing luminescence intensities of MC38 cells after treatment with pLNPs formulated from 21 distinct pILs. **c**, Ex vivo FLuc expression in tumour tissue (n = 3). Mice were intratumourally injected with G0-SS-AA-C10/C12/C14 FLuc pLNPs and MC3 FLuc LN",true,"Component or formulation name is explicit, but no single exact source IUPAC name is provided."
C000014,m1psi-modified FLuc mRNA,1-methylpseudouridine-modified firefly luciferase mRNA|FLuc mRNA,,known,cargo,markdown,,,,true,Candidate retained from QS_2026 text-prep candidate list; source sentence was not re-located automatically in the sandbox fallback.
C000015,P2A-SS-AA-C10,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 29A,"P2A-SS-AA-C10: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 29A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.27 (d, *J* = 8.2 Hz, 1H), 7.14 – 6.95 (m, 4H), 4.23 (td, *J* = 8.3, 4.8 Hz, 1H), 4.16 (q, *J* = 6.3 Hz, 3H), 3.87 (s, 2H), 3.71 (s, 3H), 3.18 (dd, *J* = 14.6, 4.7 Hz, 4H), 3.09 – 3.05 (m, 4H), 3.02 – 2.60 (m, 18H), 1.86 (s, 2H), 1.78 (s, 2H), 1.38 (s, 4H), 1.23 (s, 25H), 0.82 (d, *J* = 7.0 Hz, 6H). HRMS (m/z, Supplementary Fig. 29B): Calcd for [M+H]+: 937.5870, found: 937.5865.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000016,P2A-SS-AA-C12,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 30A,"P2A-SS-AA-C12: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 30A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.28 (d, *J* = 8.2 Hz, 1H), 7.20 – 6.96 (m, 4H), 4.27 (dd, *J* = 8.3, 4.7 Hz, 1H), 4.17 (h, *J* = 6.6 Hz, 4H), 3.89 (s, 2H), 3.72 (s, 3H), 3.22 – 3.17 (m, 4H), 3.09 (d, *J* = 4.5 Hz, 4H), 2.97 – 2.62 (m, 18H), 1.88 (s, 2H), 1.81 (s, 2H), 1.38 (s, 6H), 1.23 (s, 32H), 0.84 (t, *J* = 6.7 Hz, 6H). HRMS (m/z, Supplementary Fig. 30B): Calcd for [M+H]+: 993.6496, found: 993.6498.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000017,P2A-SS-AA-C14,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 31A,"P2A-SS-AA-C14: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 31A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.28 (d, *J* = 8.3 Hz, 2H), 7.18 – 6.95 (m, 6H), 4.28 – 4.24 (m, 2H), 4.22 – 4.11 (m, 6H), 3.89 (s, 3H), 3.72 (s, 3H), 3.17 (d, *J* = 4.8 Hz, 4H), 3.06 (t, *J* = 7.0 Hz, 4H), 2.88 – 2.67 (m, 19H), 1.78 (s, 2H), 1.38 (s, 6H), 1.22 (s, 40H), 0.84 (t, *J* = 6.7 Hz, 6H). HRMS (m/z, Supplementary Fig. 31B): Calcd for [M+H]+: 1049.7122, found: 1049.7102.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000018,T3A-SS-AA-C10,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 32A,"T3A-SS-AA-C10: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 32A) δ 7.51 (d, *J* = 7.9 Hz, 1H), 7.26 (d, *J* = 8.2 Hz, 1H), 7.12 – 6.96 (m, 4H), 4.25 (dt, *J* = 8.5, 4.3 Hz, 1H), 4.16 (q, *J* = 6.3 Hz, 4H), 3.84 (d, *J* = 21.5 Hz, 4H), 3.71 (s, 3H), 3.15 (s, 4H), 3.05 (d, *J* = 8.6 Hz, 4H), 2.93 – 2.65 (m, 18H), 1.62 (s, 2H), 1.38 (s, 12H), 1.22 (s, 48H), 0.82 (d, *J* = 7.0 Hz, 12H). HRMS (m/z, Supplementary Fig. 32B): Calcd for [M+H]+: 1237.8898, found: 1237.8881.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000019,T3A-SS-AA-C12,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 33A,"T3A-SS-AA-C12: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 33A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.27 (d, *J* = 8.2 Hz, 1H), 7.22 – 6.92 (m, 3H), 4.26 (td, *J* = 8.3, 4.7 Hz, 1H), 4.22 – 4.01 (m, 3H), 3.89 (s, 4H), 3.72 (s, 3H), 3.16 (s, 4H), 3.13 – 3.09 (m, 4H), 3.07 – 2.66 (m, 14H), 2.34 (d, *J* = 1.9 Hz, 4H), 1.90 (s, 2H), 1.37 (s, 12H), 1.22 (s, 65H), 0.84 (s, 13H). HRMS (m/z, Supplementary Fig. 33B): Calcd for [M+2H]2+: 675.5514, found: 675.5519.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000020,T3A-SS-AA-C14,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 34,"T3A-SS-AA-C14: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 34) δ 7.51 (d, *J* = 7.9 Hz, 1H), 7.26 (d, *J* = 8.2 Hz, 1H), 7.04 (dt, *J* = 44.2, 7.4 Hz, 3H), 4.24 (d, *J* = 5.4 Hz, 1H), 4.20 – 4.05 (m, 4H), 3.85 (s, 4H), 3.71 (s, 3H), 3.16 (s, 4H), 3.09 (dd, *J* = 7.3, 3.9 Hz, 4H), 2.92 – 2.63 (m, 18H), 1.84 (s, 2H), 1.35 (s, 12H), 1.21 (s, 80H), 0.82 (t, *J* = 6.6 Hz, 12H). HRMS (m/z): Calcd for [M+2H]2+: 1007.8537, found: 1007.8541.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000021,G0-SS-AA-C10,,,novel,ionizable_lipid,markdown,QS_2026/QS_2026.md,Fig. 2,"<span id=""page-2-0""></span>**Fig. 2**| **In vitro and in vivo screening of pIL library and lead pLNPs for mRNA delivery. a**, Schematic showing screening method for pILs. pLNPs were formulated with a pIL, cholesterol, DOPE and DMG-PEG at a molar ratio of 50:38.5:10:1.5. MC38 cells were used for in vitro screening of pLNPs encapsulating FLuc mRNA. Lead pLNPs were selected for in vivo evaluation via MC38 intratumoural administration. b, Heat map showing luminescence intensities of MC38 cells after treatment with pLNPs formulated from 21 distinct pILs. **c**, Ex vivo FLuc expression in tumour tissue (n = 3). Mice were intratumourally injected with G0-SS-AA-C10/C12/C14 FLuc pLNPs and MC3 FLuc LN",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000022,G0-SS-AA-C12,,,novel,ionizable_lipid,markdown,QS_2026/QS_2026.md,,"of 2.5 $\mu$ g per mouse for 6 h and the total flux was quantified. Data are presented as mean $\pm$ s.d. Statistical differences were calculated using one-way analysis of variance (ANOVA) with Fisher's least significant difference (LSD) multiple comparisons test. **d**, Representative confocal images showing endosomal escape of G0-SS-AA-C12 pLNP and MC3 LNP. MC38 cells were treated with DiO-labelled LNPs for 2 h, and then stained with LysoTracker Deep Red and Hoechst 33342 before imaging. The experiments were repeated three times with similar results. \*\*\*\*\*P< 0.0001; \*\*\*P< 0.001; \*\*P< 0.001; \*\*P< 0.05. Panel **a** created in BioRender; Hamilton, A. https://biorender.com/h01uj00",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000023,G0-SS-AA-C14,,,novel,ionizable_lipid,markdown,QS_2026/QS_2026.md,Supplementary Fig. 51,"The top three pILs (G0-SS-AA-C10, G0-SS-AA-C12 and G0-SS-AA-C14) from our initial screens were advanced for further study. Given our interest in applying pLNPs for solid tumour therapy, we next assessed pIL efficiency relative to two control lipids (G0-6C-AA-C12 and MC3) after intratumoural injection into mouse MC38 tumours. In brief, LNPs encapsulating FLuc mRNA at a dose of 2.5 μg per mouse were administered to MC38 tumour-bearing mice, and luciferase expression was quantified 6 h post-injection using bioluminescence imaging (Fig. [2c](#page-2-0) and Supplementary Fig. 51). G0-SS-AA-C12 pLNP facilitated greater whole-body mRNA transfection compared with MC3 LNP (Supplementary Fig. 51). Ex",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000024,110-SS-AA-C10,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 20A,"110-SS-AA-C10: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 20A) δ 7.51 (d, *J* = 7.9 Hz, 1H), 7.26 (d, *J* = 8.2 Hz, 1H), 7.15 – 6.91 (m, 5H), 4.25 (dd, *J* = 8.3, 5.1 Hz, 1H), 4.16 (q, *J* = 6.7 Hz, 4H), 3.85 (s, 4H), 3.71 (s, 3H), 3.15 (d, *J* = 11.0 Hz, 4H), 3.03 (dd, *J* = 14.7, 8.6 Hz, 4H), 2.94 – 2.62 (m, 18H), 1.37 (s, 8H), 1.22 (s, 48H), 0.83 (t, *J* = 6.7 Hz, 12H). HRMS (m/z, Supplementary Fig. 20B): Calcd for [M+H]+: 1195.8429, found: 1195.8409.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000025,110-SS-AA-C12,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 21A,"110-SS-AA-C12: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 21A) δ 7.51 (d, *J* = 7.9 Hz, 1H), 7.25 (d, *J* = 8.1 Hz, 1H), 7.17 – 6.73 (m, 3H), 4.30 – 4.23 (m, 1H), 4.16 (d, *J* = 6.6 Hz, 3H), 3.78 (s, 4H), 3.70 (s, 3H), 3.29 – 3.23 (m, 4H), 3.18 (dd, *J* = 14.2, 4.9 Hz, 4H), 2.97 – 2.69 (m, 18H), 1.34 (s, 8H), 1.21 (s, 65H), 0.82 (t, *J* = 6.7 Hz, 13H). HRMS (m/z, Supplementary Fig. 21B): Calcd for [M+H]+: 1307.9681, found: 1307.9668.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000026,110-SS-AA-C14,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 22A,"110-SS-AA-C14: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 22A) δ 7.51 (d, *J* = 7.9 Hz, 1H), 7.26 (d, *J* = 8.2 Hz, 1H), 7.04 (ddd, *J* = 37.3, 14.9, 7.4 Hz, 4H), 4.26 (dt, *J* = 8.1, 4.1 Hz, 1H), 4.16 (q, *J* = 6.7 Hz, 4H), 3.92 – 3.83 (m, 5H), 3.71 (s, 3H), 3.22 – 3.15 (m, 4H), 3.05 – 2.98 (m, 4H), 2.97 – 2.54 (m, 18H), 1.36 (s, 8H), 1.21 (s, 80H), 0.82 (t, *J* = 6.7 Hz, 12H). HRMS (m/z, Supplementary Fig. 22B): Calcd for [M+H]+: 1420.0933, found: 1420.0930.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000027,306-SS-AA-C10,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 26A,"306-SS-AA-C10: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 26A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.26 (d, *J* = 8.1 Hz, 1H), 7.03 (dt, *J* = 45.0, 7.3 Hz, 4H), 4.26 – 4.20 (m, 1H), 4.19 – 4.08 (m, 4H), 3.70 (s, 3H), 3.60 (s, 2H), 3.16 (d, *J* = 5.0 Hz, 4H), 3.08 – 3.00 (m, 4H), 2.89 – 2.69 (m, 10H), 2.33 (s, 3H), 1.86 (s, 2H), 1.64 (s, 2H), 1.38 (s, 4H), 1.22 (s, 24H), 0.82 (d, *J* = 7.0 Hz, 6H). HRMS (m/z, Supplementary Fig. 26B): Calcd for [M+H]+: 882.5448, found: 882.5439.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000028,306-SS-AA-C12,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 27A,"306-SS-AA-C12: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 27A) δ 7.51 (d, *J* = 7.9 Hz, 1H), 7.27 (d, *J* = 8.2 Hz, 1H), 7.16 – 6.94 (m, 4H), 4.25 (dt, *J* = 8.4, 4.2 Hz, 1H), 4.16 (q, *J* = 6.8 Hz, 4H), 3.81 (s, 2H), 3.71 (s, 3H), 3.18 (dd, *J* = 14.7, 4.6 Hz, 4H), 3.07 (d, *J* = 6.5 Hz, 4H), 2.89 – 2.69 (m, 10H), 2.07 (s, 3H), 1.80 (t, *J* = 7.7 Hz, 2H), 1.36 (s, 6H), 1.22 (s, 32H), 0.83 (t, *J* = 6.7 Hz, 6H). HRMS (m/z, Supplementary Fig. 27B): Calcd for [M+H]+: 938.6074, found: 938.6064.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000029,306-SS-AA-C14,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 28A,"306-SS-AA-C14: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 28A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.28 (d, *J* = 8.2 Hz, 1H), 7.23 – 6.92 (m, 4H), 4.27 (dd, *J* = 8.3, 5.0 Hz, 1H), 4.17 (q, *J* = 6.9 Hz, 4H), 3.85 (s, 2H), 3.72 (s, 3H), 3.19 (dd, *J* = 14.4, 4.6 Hz, 4H), 3.06 – 2.97 (m, 4H), 2.89 – 2.67 (m, 11H), 2.14 (s, 3H), 1.89 – 1.79 (m, 2H), 1.38 (s, 6H), 1.22 (s, 40H), 0.84 (t, *J* = 6.7 Hz, 6H). HRMS (m/z, Supplementary Fig. 28B): Calcd for [M+H]+: 994.6700, found: 994.6687.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000030,L2A-SS-AA-C10,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 23A,"L2A-SS-AA-C10: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 23A) δ 7.52 (d, *J* = 7.9 Hz, 1H), 7.25 (d, *J* = 8.1 Hz, 2H), 7.16 – 6.88 (m, 6H), 4.20 (s, 1H), 4.14 (d, *J* = 6.3 Hz, 4H), 3.70 (s, 3H), 3.58 (d, *J* = 5.5 Hz, 4H), 3.18 – 3.15 (m, 4H), 3.05 (d, *J* = 7.5 Hz, 4H), 2.88 – 2.67 (m, 19H), 1.70 (s, 2H), 1.60 (s, 2H), 1.43 – 1.34 (m, 8H), 1.22 (s, 48H), 0.82 (d, *J* = 7.0 Hz, 14H). HRMS (m/z, Supplementary Fig. 23B): Calcd for [M+H]+: 1123.8742, found: 1123.8741.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000031,L2A-SS-AA-C12,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 24A,"L2A-SS-AA-C12: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 24A) δ 7.53 (d, *J* = 7.9 Hz, 1H), 7.23 (d, *J* = 8.1 Hz, 1H), 7.12 – 6.81 (m, 4H), 4.21 – 4.06 (m, 5H), 3.68 (s, 3H), 3.54 – 3.50 (m, 4H), 3.19 (dd, *J* = 13.9, 4.5 Hz, 4H), 3.05 (d, *J* = 9.2 Hz, 4H), 3.00 – 2.64 (m, 19H), 1.62 (s, 2H), 1.55 (s, 2H), 1.38 (s, 8H), 1.21 (s, 64H), 0.82 (t, *J* = 6.6 Hz, 13H). HRMS (m/z, Supplementary Fig. 24B): Calcd for [M+H]+: 1335.9994, found: 1335.9990.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000032,L2A-SS-AA-C14,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 25A,"L2A-SS-AA-C14: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 25A) δ 7.53 (d, *J* = 7.9 Hz, 1H), 7.24 (d, *J* = 8.2 Hz, 1H), 7.14 – 6.82 (m, 4H), 6.74 (s, 1H), 4.25 – 4.09 (m, 5H), 3.69 (s, 3H), 3.59 (s, 4H), 3.19 – 3.14 (m, 4H), 2.98 (s, 4H), 2.92 – 2.64 (m, 18H), 1.67 (s, 3H), 1.57 (s, 3H), 1.37 (s, 8H), 1.20 (s, 80H), 0.82 (t, *J* = 6.7 Hz, 12H). HRMS (m/z, Supplementary Fig. 25B): Calcd for [M+H]+: 1448.1246, found: 1448.1227.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
C000033,DAB-SS-AA-C10,,,novel,ionizable_lipid,markdown,41565_2025_2102_MOESM1_ESM/41565_2025_2102_MOESM1_ESM.md,Supplementary Fig. 35A,"DAB-SS-AA-C10: 1H NMR (400 MHz, CDCl3:DMSO-*d*<sup>6</sup> = 1:1, Supplementary Fig. 35A) δ 7.51 (s, 1H), 7.25 (d, *J* = 8.2 Hz, 1H), 7.11 – 6.90 (m, 3H), 4.19 – 4.09 (m, 5H), 3.69 (s, 3H), 3.56 (s, 6H), 3.07 (d, *J* = 7.8 Hz, 6H), 3.00 (s, 6H), 2.88 – 2.66 (m, 26H), 1.67 (s, 6H), 1.50 (s, 6H), 1.37 (s, 12H), 1.22 (s, 72H), 0.83 (t, *J* = 6.6 Hz, 18H). HRMS (m/z, Supplementary Fig. 35B): Calcd for [M+H]+: 1678.3240, found: 1678.3227.",true,Novel pIL/control lipid named in text; no explicit source IUPAC name or text SMILES provided.
